artist_name.x,track_name.y,year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,duration_ms
Everything Everything,Distant Past,2016,0.694,0.812,-6.473,0.0355,0.0666,5.33e-4,0.211,129.988,0.522,221693
Faithless,No Roots,2005,0.554,0.868,-6.627,0.0521,0.00343,0.0161,0.446,90.002,0.273,323906
Fidel Nadal,International Love,2010,0.7004999999999999,0.7035,-6.9384999999999994,0.0597,0.0153,0,0.06485,175.97050000000002,0.758,246899.5
Fitz And The Tantrums,Spark,2013,0.75,0.936,-3.066,0.0652,0.0521,0.00298,0.0732,133.147,0.896,198986
Flogging Molly,To Youth (My Sweet Roisin Dubh),2005,0.356,0.989,-3.916,0.136,6.18e-4,0.0106,0.247,148.396,0.581,197093
Foals,Olympic Airways,2009,0.6025714285714285,0.868,-7.1659999999999995,0.030928571428571427,0.04687142857142857,0.7414285714285714,0.2587,138.95,0.7894285714285715,253033.85714285713
Formation,Pleasure,2017,0.611,0.829,-8.152,0.0614,0.00958,0.0309,0.118,124.937,0.657,250491
Foster The People,Call It What You Want,2012,0.641,0.967,-4.289,0.0601,0.0483,2.76e-4,0.442,113.017,0.725,238786
Franz Ferdinand,Tell Her Tonight,2005,0.5325,0.592,-7.4085,0.0385,1.945e-4,0,0.21300000000000002,123.9175,0.673,137573
Future Funk Squad,Sorcerary,2005,0.727,0.888,-6.369,0.0688,0.0688,0.0176,0.44,124.983,0.482,261680
Ghali,Habibi,2019,0.649,0.711,-6.924,0.103,0.148,3.22e-6,0.0972,111.763,0.523,184413
Gin Wigmore,New Rush,2016,0.717,0.935,-4.631,0.0948,0.035,0.0985,0.104,133.032,0.493,229280
Givers,Up Up Up,2012,0.41833333333333333,0.8063333333333333,-6.657666666666667,0.10289999999999999,0.002086666666666667,2.7400000000000005e-4,0.249,116.86033333333333,0.297,273835.3333333333
Glass Animals,Youth,2017,0.648,0.718,-7.765,0.0298,0.129,0.00156,0.112,96.017,0.785,230693
Glasvegas,The World Is Yours,2012,0.35633333333333334,0.8956666666666667,-3.7823333333333333,0.0568,3.8666666666666667e-4,3.5266666666666666e-6,0.45133333333333336,132.074,0.199,293000
Goldfrapp,Train,2004,0.628,0.714,-6.07,0.0263,5.47e-4,0.0946,0.0749,130.011,0.353,251080
Gorillaz,Rhinestone Eyes,2011,0.676,0.703,-5.815,0.0302,0.0869,6.87e-4,0.0463,92.761,0.852,200173
Gorillaz,Sorcererz,2019,0.584,0.872,-6.636,0.0365,0.022,0.927,0.127,84.075,0.818,180373
Graffiti6,Stare Into The Sun,2012,0.6441666666666667,0.7261666666666666,-6.622,0.057683333333333336,0.01715,0.002485,0.289,126.97416666666666,0.8135,236826
Groove Armada,Paper Romance,2011,0.5352857142857143,0.73,-6.1858571428571425,0.03332857142857143,9.622857142857143e-5,0.061513957142857144,0.28585714285714287,123.00042857142857,0.22428571428571428,370910.85714285716
Head Automatica,Brooklyn Is Burning,2005,0.753,0.952,-3.919,0.079,0.0109,0,0.126,119.045,0.591,234986
HUNTAR,Anyway,2017,0.578,0.603,-4.418,0.0287,0.15,0,0.161,102.059,0.447,201280
Idlewild,You Held the World in Your Arms,2003,0.385,0.908,-3.287,0.0558,1.71e-5,0.594,0.105,132.877,0.375,202435
Illya Kuryaki & The Valderramas,Funky Futurista,2014,0.943,0.642,-4.254,0.277,0.0135,5.27e-6,0.255,122.986,0.796,234373
Ivete Sangalo,Sorte Grande,2005,0.72875,0.8235,-5.4072499999999994,0.0577,0.14150000000000001,0.0051725,0.2095,141.979,0.96575,228342.75
Ivy Queen,Que Lloren,2008,0.82,0.7095,-7.4465,0.16549999999999998,0.2445,0,0.512,91.9995,0.7745,193186
Jack Garratt,Surprise Yourself,2017,0.382,0.4335,-12.1705,0.076550000000000007,0.2455,9.335e-4,0.136,158.746,0.0895,260794
Jagwar Ma,O B 1,2017,0.51425,0.8855,-6.7475,0.034525,0.0012875,2.7299999999999997e-4,0.5665,100.82024999999999,0.482,318618.75
Jagwar Ma,What Love,2013,0.525,0.673,-8.019,0.0344,1.04e-4,0.0197,0.209,174.018,0.196,232560
Japanese Popstars,Let Go,2012,0.7213333333333333,0.8076666666666668,-5.147666666666667,0.0544,9.373333333333333e-4,0.43333333333333335,0.326,128.00300000000001,0.44133333333333336,322257.3333333333
John Newman,Love Me Again,2014,0.495,0.894,-4.814,0.0441,0.00453,5.96e-4,0.103,126.03,0.213,239894
Jonsi,Around Us,2011,0.21,0.634,-9.075,0.0463,0.101,0.0089,0.269,139.817,0.0607,318053
Jump Jump Dance Dance,White Picket Fences,2011,0.3905,0.8585,-5.5280000000000005,0.05595,6.88e-6,3.045e-6,0.09395,144.9835,0.3495,217313
Jungle,Beat 54 (All Good Now),2019,0.646,0.695,-6.34,0.0547,0.517,0.00687,0.154,105.986,0.513,246815
Junior Senior,Rhythm Bandits,2004,0.465,0.991,-1.327,0.208,0.0122,0,0.919,176.996,0.739,168186
K’naan,Soobax,2006,0.8198,0.9158000000000001,-4.786,0.1896,0.168,0,0.4656,106.0176,0.4294,230733
Kaleo,Way Down We Go,2016,0.508,0.58,-5.824,0.111,0.616,3.19e-4,0.088,162.709,0.256,219560
Karol Conka,Boa Noite,2014,0.5853333333333334,0.8416666666666667,-5.091333333333333,0.35866666666666663,0.029166666666666667,1.6133333333333334e-4,0.07096666666666666,135.365,0.5583333333333333,166307.33333333334
Kasabian,Club Foot,2013,0.3504,0.9172,-6.8738,0.07084,0.02372,1.746e-5,0.09236,102.0814,0.1164,214965.2
Kasabian,Comeback Kid,2017,0.47,0.931,-3.433,0.104,0.00599,0,0.0502,139.979,0.498,260173
Kasabian,Switchblade Smiles,2012,0.24625,0.91025,-7.149,0.2185,0.05075,0.41100000000000003,0.15925,105.54299999999999,0.2825,254486
Kings Of Leon,Red Morning Light,2004,0.528,0.797,-5.387,0.044,0.0792,0,0.327,160.848,0.877,179426
Kinky,Coqueta,2006,0.739,0.969,-4.688,0.0623,0.0434,1.84e-5,0.396,143.023,0.895,217320
Kitten,G#,2013,0.357,0.792,-4.725,0.0427,0.0046,0.272,0.0832,134.948,0.31,283160
Kosheen,Hide U,2003,0.669,0.669,-5.214,0.0564,0.0114,0.11,0.112,169.989,0.334,251240
Kosheen,Pride,2003,0.41,0.94,-4.306,0.208,0.136,0,0.11,84.34,0.189,240960
Kovic,Drown,2018,0.708,0.891,-3.8520000000000003,0.050699999999999995,0.31499999999999995,5.05e-7,0.255,116.108,0.665,188177.5
Kwabs,Walk,2015,0.615,0.814,-3.903,0.0677,0.17,0,0.218,144.005,0.577,214149
La Vida Boheme,El Buen Salvaje,2012,0.5083333333333333,0.951,-6.0826666666666664,0.13466666666666666,8.44e-4,0.64,0.19633333333333333,150.00966666666667,0.384,206187.66666666666
Ladyhawke,Black White & Blue,2013,0.5135000000000001,0.833,-2.101,0.0483,0.001365,6.180000000000001e-4,0.223,115.0125,0.297,234866
Ladytron,Ace of Hz,2011,0.497,0.919,-3.66,0.0292,0.0168,0.162,0.217,122.009,0.383,217360
Ladytron,Runaway,2009,0.572,0.7515000000000001,-6.78,0.0318,2.13e-4,9.86e-4,0.122,114.96549999999999,0.466,289960
LCD Soundsystem,Daft Punk Is Playing at My House,2006,0.92,0.914,-4.555,0.0444,0.0222,7.62e-5,0.114,135.923,0.974,314556
LCD Soundsystem,I Can Change,2011,0.6446666666666667,0.7286666666666667,-6.566333333333334,0.0287,0.0021033333333333334,0.0016,0.23566666666666666,116.98166666666667,0.6836666666666666,354543
Lewis Del Mar,Painting (Masterpiece),2017,0.726,0.861,-5.167,0.0695,0.277,4.12e-6,0.0534,91.966,0.711,243413
Little Dragon,Nightlight,2012,0.716,0.839,-5.522,0.03725,0.0125,0.09615,0.1825,140.0195,0.9675,205053
Lola Coca,Love Songs,2017,0.768,0.772,-2.858,0.158,0.191,0,0.0881,114.888,0.528,220886
Lorde,Supercut,2018,0.562,0.437,-10.229,0.052,0.219,2.18e-5,0.0806,124.852,0.15,277506
Los Fabulosos Cadillacs,La Luz del Ritmo,2010,0.656,0.898,-3.938,0.0615,0.0871,0.087,0.073,148.127,0.784,242573
Los Rakas,Hot,2014,0.749,0.839,-6.406,0.181,0.0106,0.0221,0.0889,100.019,0.543,203400
Lucius,Almighty Gosh,2017,0.538,0.87,-5.6665,0.041400000000000006,6.405e-4,0.00328,0.0673,124.984,0.264,215466
Lukas Kasha,Love Abuse,2008,0.508,0.851,-4.349,0.0363,0.00171,0,0.082,155.045,0.836,201226
Macaco,Una Sola Voz,2012,0.684,0.542,-6.248,0.0279,0.132,2.73e-5,0.0856,92.023,0.613,206386
Madeon,Imperium,2015,0.647,0.946,-1.72,0.0767,1.22e-4,0.0355,0.158,110.017,0.452,198853
Magic Man,Tonight,2015,0.505,0.917,-5.906,0.0388,0.209,3.9e-6,0.0827,163.936,0.304,217733
Mala Rodriguez,"Jugadoras, Jugadores",2005,0.888,0.3905,-7.7635000000000005,0.354,0.01375,0,0.0882,89.975,0.6535,341346.5
Malachai,Snowflake,2011,0.717,0.731,-3.653,0.0338,0.127,0.214,0.12,129.696,0.791,210626
Mando Diao,God Knows,2006,0.376,0.802,-4.065,0.0337,0.00168,1.81e-5,0.0812,79.099,0.574,230733
maNga,Bir Kadin Cizeceksin,2006,0.626,0.814,-6.943,0.156,0.0143,5.11e-4,0.0734,102.098,0.659,264440
Mansionair,Violet City,2019,0.593,0.7455,-7.8,0.033699999999999994,0.06265000000000001,0.1695,0.21,161.987,0.381,213515
Marcelinho da Lua,Tranquilo,2006,0.644,0.957,-4.622,0.0448,0.0011,0.00389,0.0671,170.032,0.967,266933
Massive Attack,Splitting The Atom,2011,0.721,0.354,-9.786999999999999,0.0346,0.499,0.0357,0.16133333333333333,100.04599999999999,0.5846666666666667,316611.3333333333
Matisyahu,Searchin,2013,0.5894,0.7442,-6.5806000000000004,0.19,0.04854,1.98e-6,0.2504,95.012199999999993,0.3256,259051.4
Maxïmo Park,The Unshockable,2008,0.5175000000000001,0.9684999999999999,-3.3064999999999998,0.0495,0.003935,5.05e-6,0.116,100.03200000000001,0.645,196373
Mellowdrone,Oh My,2007,0.658,0.851,-5.351,0.034,0.00142,0.00395,0.16,132.07,0.772,207693
Melody Club,Fever Fever,2008,0.692,0.924,-4.761,0.0546,0.0712,1.1e-6,0.0819,110.005,0.853,219333
Metric,Gold Guns Girls,2010,0.4935,0.96075,-5.394,0.058525,9.2875e-4,0.0323,0.078725,179.9625,0.81325,245799.5
Metric,Speed The Collapse,2013,0.473,0.905,-4.798,0.035525,0.0102875,0.0334,0.090425,94.99875,0.50375,222739.5
Mexican Institute of Sound,Alocatel,2010,0.69375,0.6915,-6.89875,0.0497,0.18275,0.0063175,0.1585,79.23375,0.9065000000000001,219809.75
MGMT,Flash Delirium,2011,0.5726666666666667,0.8043333333333333,-3.9459999999999997,0.0626,0.07863333333333333,3.663333333333333e-4,0.06896666666666666,122.082,0.39866666666666667,255924
Miami Horror,All It Ever Was,2016,0.25133333333333335,0.7506666666666667,-4.797,0.03833333333333333,0.159,0.0019533333333333334,0.378,103.368,0.07833333333333334,342316
Miike Snow,Paddling Out,2013,0.611,0.826,-3.56,0.0368,0.00929,0.0043,0.186,128.112,0.363,223053
Morning Runner,Gone up in Flames,2007,0.286,0.922,-3.579,0.0433,3.82e-4,2.67e-4,0.138,174.906,0.682,174689
Morrissey,"Irish Blood, English Heart",2005,0.579,0.81,-5.3149999999999995,0.03665,0.004880000000000001,0.0010375,0.0959,140.0865,0.363,158039.5
Muse,Supermassive Black Hole,2007,0.668,0.921,-3.727,0.0439,0.0492,0.00517,0.0877,120,0.782,212439
Najwajean,Drive Me,2009,0.734,0.6525000000000001,-7.845,0.04525,0.23299999999999998,1.16e-5,0.2305,124.01650000000001,0.6925,295153
New Order,Blue Monday,2005,0.611,0.931,-7.631,0.0402,3.81e-4,0.638,0.824,130.583,0.323,428573
Nightmare of You,"Dear Scene, I Wish I Were Deaf",2007,0.41766666666666663,0.975,-2.9366666666666665,0.09393333333333334,0.025033333333333335,0,0.16333333333333333,142.962,0.586,202275.33333333334
Nine Black Alps,Cosmopolitan,2006,0.34,0.9584999999999999,-3.0655,0.10550000000000001,8.435e-5,6.89e-6,0.08399999999999999,178.31900000000002,0.262,155953
Nothing But Thieves,Trip Switch,2016,0.6343333333333333,0.801,-4.161333333333333,0.0765,0.019266666666666668,0.007176666666666666,0.09783333333333334,88.46933333333334,0.7626666666666667,181137.33333333334
Oasis,Lyla,2006,0.3872,0.9473999999999999,-2.1158,0.04958,1.1933999999999999e-4,9.158e-4,0.1404,120.917,0.2912,310866.4
Ocean Wisdom,Tom & Jerry,2019,0.634,0.645,-11.285,0.327,0.103,0,0.0824,98.624,0.475,206250
Octavian,Lightning,2019,0.712,0.5255000000000001,-12.151,0.06684999999999999,0.005185,0.0109,0.101,129.952,0.045450000000000004,235342
ODESZA,La Ciudad,2018,0.666,0.8545,-5.0915,0.046200000000000005,0.00568,0.3425,0.1835,108.02250000000001,0.21350000000000002,271136
Of Monsters And Men,Crystals,2016,0.581,0.758,-7.252,0.0305,0.00196,2.86e-4,0.1,132.197,0.331,243520
OK KID,Am Ende,2014,0.688,0.885,-6.542,0.0725,9.17e-4,0,0.0938,130.009,0.28,213600
Paper Routes,Chariots,2017,0.257,0.973,-4.887,0.141,1.25e-4,0.00667,0.122,129.051,0.458,276586
Parade of Lights,Feeling Electric,2016,0.449,0.833,-4.626,0.0548,3.87e-4,5.62e-4,0.151,97.055,0.637,221617
Paul van Dyk,Nothing But You,2004,0.5205,0.9199999999999999,-7.4565,0.0392,2.89e-4,0.7304999999999999,0.33799999999999997,139.37349999999998,0.05025,417715.5
Perfume Genius,Slip Away,2018,0.603,0.509,-6.824,0.0312,0.371,2.66e-5,0.0627,136.592,0.572,165329
Peter Bjorn and John,Young Folks,2008,0.6995,0.81175,-6.00525,0.038125,0.01745,7.2375e-4,0.10015,138.16325,0.662,278449.75
Phantoms,Throw It In The Fire,2018,0.868,0.709,-6.767,0.236,7.69e-4,2.22e-4,0.123,120.035,0.899,321026
Pint Shot Riot,Not Thinking Straight,2010,0.391,0.899,-4.604,0.0724,3.49e-5,0.0386,0.142,163.892,0.649,142413
Pint Shot Riot,Twisted Soul,2012,0.311,0.884,-4.919,0.048,2.54e-6,0.198,0.18,165.045,0.526,188706
Planet Funk,Static,2008,0.7593333333333333,0.5293333333333333,-5.9093333333333335,0.0352,5.906666666666666e-4,2.1766666666666666e-5,0.07016666666666667,126.03999999999999,0.5266666666666667,297821.6666666667
Plastilina Mosh,Let U Know,2009,0.524,0.897,-5.0555,0.2175,8.9e-4,1.3700000000000001e-5,0.7255,161.681,0.65,218379.5
Plastilina Mosh,Peligroso Pop,2007,0.7015,0.901,-4.498749999999999,0.03435,4.1125e-4,0.0079575,0.06485,135.03525,0.7404999999999999,216396.5
Polock,Everlasting,2015,0.646,0.833,-5.721,0.0316,0.00439,0.00111,0.108,112,0.656,185477
Polysics,Tei! Tei! Tei!,2007,0.412,0.948,-2.39,0.254,1.56e-4,0.0166,0.092,190.825,0.495,155600
Prides,Out Of The Blue,2015,0.512,0.787,-5.852,0.0323,1.79e-5,0.0917,0.351,87.992,0.558,221743
